group,age,sex,score
1,32,1,7
2,56,1,38
2,44,1,70
1,52,2,6
2,24,1,80
2,25,1,0
2,20,1,24
2,46,1,43
1,16,1,10
1,22,1,65
2,22,1,30
1,21,1,0
1,51,2,20
1,15,1,0
1,38,1,5
1,21,1,35
2,52,2,85
1,36,1,0
2,56,1,67
1,48,2,59
1,39,1,27
2,42,1,28
2,40,1,30
2,62,1,26
1,43,1,7
1,65,1,3
2,34,1,0
2,38,1,7
1,44,1,5
2,32,1,50
1,71,1,0
2,31,2,60
2,24,2,20
1,74,2,5
2,53,1,64
1,47,1,17
2,27,1,10
1,17,1,10
2,64,1,7
1,42,1,9
